Temporada,Jugadora,Nacionalidad,Equipo,Puntos,Partidos,Rebotes Totales,Rebotes Ofensivos,Rebotes Defensivos,Asistencias,Balones recuperados,Balones perdidos,Tapones a favor,Tapones en contra,Faltas recibidas,Faltas cometidas,Valoración,Minutos jugados,% Tiros de 2,% Tiros de 3,% Tiros Libres
"2018/2019,""GINZO ARANTES, PAULA"",Nacional,NISSAN AL-QÁZERES EXTREMADURA,175,20,154,34,120,37,14,44,12,5,29,37,216,598:48,77 / 185,,"
"2018/2019,""GIVENS , KRISI TIJANA"",Extranjero,PERFUMERIAS AVENIDA,214,25,90,21,69,58,39,38,1,7,40,32,273,536:57,69 / 131,18 / 43,"
"2018/2019,""GLADKOVA, IULLIA"",Extranjero,EMBUTIDOS PAJARIEL BEMBIBRE PD,401,26,111,35,76,57,21,96,5,10,115,58,293,793:18,115 / 266,33 / 113,72 / 94"
"2018/2019,""GOMES COLHADO, NADIA"",Extranjero,SPAR CITYLIFT GIRONA,261,23,156,72,84,21,15,38,25,6,71,50,315,517:31,108 / 225,,45 / 68"
"2018/2019,""GOMEZ IGLESIAS, REGINA"",Nacional,DURÁN MAQUINARIA ENSINO,160,25,57,12,45,79,44,74,,6,26,25,162,582:47,69 / 140,3 / 26,"
"2018/2019,""GOMEZ IGUAL, ANNA"",Nacional,VALENCIA B.C.,191,26,170,15,155,159,41,78,9,5,78,51,378,869:23,43 / 122,22 / 62,39 / 56"
"2018/2019,""GOMEZ NOVO, MARIA ARANZAZU"",Nacional,DURÁN MAQUINARIA ENSINO,97,17,48,11,37,54,25,35,1,2,43,37,117,375:04,24 / 62,9 / 42,"
"2018/2019,""GONZALEZ DUARTE , LARA"",Nacional,IDK GIPUZKOA,109,25,64,19,45,39,23,26,,7,45,49,126,471:49,39 / 87,,"
"2018/2019,""GUSTAVSSON , ELIN JELENA"",Extranjero,BAXI FERROL,211,26,187,49,138,25,28,52,9,10,44,73,246,807:01,75 / 161,9 / 43,"
"2018/2019,""GWATHMEY, JAZMON CHAMELI"",Extranjero,LOINTEK GERNIKA BIZKAIA,243,19,102,26,76,37,12,28,7,3,47,55,203,540:43,89 / 200,12 / 42,"
"2018/2019,""HAMPTON, KEISHA LAVON"",Extranjero,SPAR CITYLIFT GIRONA,361,25,141,38,103,28,35,41,8,7,50,70,338,602:57,87 / 169,50 / 126,"
"2018/2019,""HEMPE, MERRITT RAMONA"",Extranjero,CADI LA SEU,309,26,123,32,91,33,19,38,5,12,54,63,251,628:38,108 / 220,21 / 75,"
"2018/2019,""HERRERA BOXO, LAURA"",Nacional,EMBUTIDOS PAJARIEL BEMBIBRE PD,169,26,146,68,78,27,17,39,8,12,50,29,249,765:34,72 / 145,,"
"2018/2019,""HERSLER, PAULINA FRIDA LOVISA"",Extranjero,MANN-FILTER CASABLANCA,176,26,64,23,41,9,5,27,3,8,29,36,82,464:48,46 / 136,23 / 54,"
"2018/2019,""HODGES, RONEEKA RAYSHELL"",Extranjero,NISSAN AL-QÁZERES EXTREMADURA,125,13,53,4,49,19,17,25,2,2,21,19,93,373:29,21 / 66,22 / 67,"
"2018/2019,""IPARRAGIRRE ALUSTIZA, SARA"",Nacional,IDK GIPUZKOA,31,25,30,8,22,16,13,18,2,2,17,24,15,258:17,,,"
"2018/2019,""JESPERSEN, MARIA STEEN"",Extranjero,SNATT´S FEMENÍ SANT ADRIÁ,113,15,87,33,54,10,7,24,1,7,29,27,99,373:13,31 / 85,6 / 37,"
"2018/2019,""KEITA, MINATA"",Extranjero,SNATT´S FEMENÍ SANT ADRIÁ,136,26,122,42,80,6,35,29,10,2,30,58,158,466:01,51 / 124,,"
"2018/2019,""KNIGHT, LESLIE FAYE"",Extranjero,MANN-FILTER CASABLANCA,191,23,68,30,38,17,17,25,,10,41,51,157,503:33,77 / 159,,"
"2018/2019,""KRAKER, MEHRYN DONEGAN"",Extranjero,CADI LA SEU,280,26,90,13,77,50,33,34,6,4,46,39,275,756:11,46 / 87,55 / 159,"
"2018/2019,""LAHUERTA MENDOZA, IRENE"",Nacional,MANN-FILTER CASABLANCA,46,26,42,10,32,26,16,17,5,,13,61,21,343:57,,10 / 42,"
"2018/2019,""LLORENTE, VICTORIA"",Extranjero,EMBUTIDOS PAJARIEL BEMBIBRE PD,195,25,143,42,101,31,18,36,3,13,81,50,207,706:41,73 / 199,,31 / 58"
"2018/2019,""LO SYLLA, NOGAYE"",Nacional,QUESOS EL PASTOR,269,26,132,31,101,35,18,43,37,6,49,43,308,803:25,108 / 206,8 / 41,"
"2018/2019,""LOPEZ RODRIGUEZ, AINHOA"",Nacional,QUESOS EL PASTOR,152,26,46,5,41,26,15,26,2,5,25,44,82,492:28,30 / 77,27 / 83,"
"2018/2019,""LOPEZ VIVES, HELENA"",Nacional,SNATT´S FEMENÍ SANT ADRIÁ,80,26,34,6,28,18,19,20,,3,36,64,42,367:22,,16 / 48,"
"2018/2019,""MAIZE, AKELA LOVETE"",Extranjero,NISSAN AL-QÁZERES EXTREMADURA,245,26,185,77,108,8,16,42,17,12,79,76,288,644:54,98 / 195,,49 / 83"
"2018/2019,""MARCOS CANEDO, LAURA"",Nacional,QUESOS EL PASTOR,36,26,11,1,10,8,9,18,,,11,17,7,245:57,,5 / 26,"
"2018/2019,""MARTINEZ PRAT, NURIA"",Nacional,SPAR CITYLIFT GIRONA,177,26,84,13,71,101,45,55,,1,86,67,224,667:08,32 / 98,29 / 92,"
"2018/2019,""MAZIONYTE, GINTARE"",Extranjero,LOINTEK GERNIKA BIZKAIA,119,26,59,25,34,21,16,24,2,4,24,44,103,369:20,31 / 64,13 / 35,"
"2018/2019,""MILLER, CHERIN BRITANY"",Extranjero,DURÁN MAQUINARIA ENSINO,252,25,143,53,90,17,21,44,23,6,50,73,284,591:54,115 / 191,,"
"2018/2019,""MOLINUEVO GARCIA, CRISTINA"",Nacional,RPK ARASKI,29,24,19,5,14,7,4,10,2,,7,3,31,177:48,,,"
"2018/2019,""MONTOLIU MATIAS, MARTA"",Nacional,MANN-FILTER CASABLANCA,104,26,57,6,51,35,22,39,,2,21,9,119,448:06,22 / 63,15 / 41,"
"2018/2019,""MOORE, TINARA NICOLE"",Extranjero,VALENCIA B.C.,127,26,85,35,50,6,7,17,7,8,29,42,124,351:22,47 / 99,,"
"2018/2019,""MURPHY, ESHAYA MARIE"",Extranjero,SPAR CITYLIFT GIRONA,304,20,71,28,43,28,38,18,3,5,26,26,284,535:32,84 / 148,40 / 108,"
"2018/2019,""NACICKAITE, KAMILE"",Extranjero,LOINTEK GERNIKA BIZKAIA,157,13,50,14,36,12,9,25,,5,36,28,124,286:44,27 / 64,27 / 65,"
"2018/2019,""NAUWELAERS, HELEEN KARIN J"",Extranjero,EMBUTIDOS PAJARIEL BEMBIBRE PD,160,26,84,12,72,34,24,37,6,7,27,47,114,658:52,20 / 74,35 / 107,"
"2018/2019,""NELSON, CHELSEA KEIANA"",Extranjero,QUESOS EL PASTOR,260,26,155,46,109,22,15,57,9,7,70,89,237,685:52,101 / 216,,55 / 73"
"2018/2019,""NYINGIFA, ATONYE JENNIFER"",Extranjero,DURÁN MAQUINARIA ENSINO,357,26,234,91,143,46,50,61,9,22,85,42,416,881:51,142 / 334,,67 / 102"
"2018/2019,""NYSTROM, ELLEN ADINA"",Extranjero,IDK GIPUZKOA,192,25,132,20,112,30,28,26,8,7,50,42,250,665:02,46 / 109,23 / 55,"
"2018/2019,""OCETE CASTILLO, GABRIELA"",Nacional,NISSAN AL-QÁZERES EXTREMADURA,271,26,69,6,63,148,42,72,,6,93,49,324,883:48,83 / 171,13 / 69,66 / 94"
"2018/2019,""ODWYER, FIONA EILISH"",Extranjero,DURÁN MAQUINARIA ENSINO,191,26,161,40,121,27,17,35,6,5,21,42,234,679:21,44 / 99,29 / 77,"
"2018/2019,""OLABARRIA BARINAGARREMENTERIA, IULENE"",Nacional,IDK GIPUZKOA,36,14,4,,4,1,,2,,1,1,5,18,111:07,,,"
"2018/2019,""OMA GIRALT, HELENA"",Nacional,SPAR CITYLIFT GIRONA,117,26,131,54,77,20,32,17,1,4,24,49,154,539:18,34 / 101,9 / 36,"
"2018/2019,""PALAU ALTES, LAIA"",Nacional,SPAR CITYLIFT GIRONA,94,25,80,15,65,133,39,50,11,,41,52,218,611:19,27 / 70,9 / 30,"
"2018/2019,""PALMA JORGE, ANA MARIA"",Nacional,CADI LA SEU,8,16,8,3,5,8,1,3,,,3,4,9,66:14,,,"
"2018/2019,""PARDO HERVIAS, LAURA"",Nacional,RPK ARASKI,95,26,61,12,49,22,23,28,3,1,22,36,97,429:13,28 / 71,10 / 30,"
"2018/2019,""PASCUA SUAREZ, MARIA LUCILA"",Nacional,LOINTEK GERNIKA BIZKAIA,68,25,97,24,73,22,18,16,4,,21,29,137,358:13,29 / 69,,"
"2018/2019,""PEREZ TORRES, TANIA"",Nacional,MANN-FILTER CASABLANCA,167,24,78,8,70,49,39,32,2,3,82,27,257,709:19,43 / 89,17 / 58,"
"2018/2019,""PEÑA JUBANY, LAURA"",Nacional,SNATT´S FEMENÍ SANT ADRIÁ,163,26,61,11,50,61,21,64,2,6,43,43,127,607:58,49 / 119,12 / 42,"
"2018/2019,""PIERRE LOUIS, VIONISE ARONS"",Extranjero,IDK GIPUZKOA,127,19,59,23,36,11,6,24,9,6,40,27,132,271:48,49 / 98,,"
"2018/2019,""PINA TOLOSA, MARIA"",Nacional,VALENCIA B.C.,324,26,148,15,133,58,24,34,4,4,77,44,358,844:18,90 / 200,31 / 104,51 / 63"
"2018/2019,""PUJOL LLUCH, ARIADNA"",Nacional,CADI LA SEU,78,26,73,24,49,28,17,18,2,7,45,23,115,348:27,20 / 52,6 / 39,"
"2018/2019,""QUEVEDO CAÑIZARES, LAURA"",Nacional,QUESOS EL PASTOR,279,25,79,25,54,40,24,44,7,6,76,60,214,802:48,54 / 133,39 / 130,54 / 65"
"2018/2019,""QUIRANTE MARTINEZ, ALEJANDRA"",Nacional,EMBUTIDOS PAJARIEL BEMBIBRE PD,132,26,74,25,49,35,30,46,,,74,46,125,594:58,,32 / 111,"
"2018/2019,""RAMOS DO NASCIMENTO, CARLA MARISA"",Extranjero,NISSAN AL-QÁZERES EXTREMADURA,65,25,49,5,44,23,19,25,1,,14,44,55,510:18,,14 / 41,"
"2018/2019,""REISINGEROVA , JULIA SUSSANE"",Extranjero,SPAR CITYLIFT GIRONA,227,24,102,43,59,13,16,29,12,1,59,72,210,467:00,94 / 177,,36 / 65"
"2018/2019,""RICHARDS, SHEREESHA NATHESHA"",Extranjero,CADI LA SEU,192,25,128,44,84,9,25,30,3,5,49,52,239,434:43,73 / 138,,46 / 61"
"2018/2019,""ROBERSON, BRIANA ALBERTA"",Extranjero,RPK ARASKI,189,26,103,21,82,38,33,36,2,3,37,62,174,728:22,36 / 95,34 / 98,"
"2018/2019,""ROBINSON, ANGELICA DANIELLE"",Extranjero,PERFUMERIAS AVENIDA,193,25,154,39,115,27,9,43,17,9,33,28,259,493:05,78 / 146,,"
"2018/2019,""RODRIGUEZ DOMINGUEZ, NATALIA"",Nacional,BAXI FERROL,40,13,28,6,22,8,6,14,,1,14,12,37,163:24,,,"
"2018/2019,""ROMERO GARRIDO, MARÍA"",Nacional,NISSAN AL-QÁZERES EXTREMADURA,11,14,5,1,4,2,1,9,,,1,10,-13,64:58,,,"
"2018/2019,""ROMERO GARRIDO, SILVIA"",Nacional,NISSAN AL-QÁZERES EXTREMADURA,10,16,15,2,13,3,3,5,,1,6,26,-7,137:16,,,"
"2018/2019,""ROUNDTREE, MARGARET YVETTE"",Extranjero,LOINTEK GERNIKA BIZKAIA,272,25,153,59,94,52,24,42,10,8,60,41,347,726:47,107 / 189,4 / 35,46 / 66"
"2018/2019,""SARR, OUMOUL KHAIRY"",Nacional,IDK GIPUZKOA,276,26,155,39,116,79,29,97,21,6,59,64,323,821:11,114 / 221,,"
"2018/2019,""SEDA, TAMARA ADELAIDE JOSE CAMACHO"",Extranjero,QUESOS EL PASTOR,118,16,114,43,71,6,14,28,12,8,38,32,166,349:36,46 / 95,,"
"2018/2019,""SILVA SERRANO , ROSELIS CAROLINA"",Nacional,EMBUTIDOS PAJARIEL BEMBIBRE PD,242,26,118,29,89,81,79,65,6,9,64,58,304,800:02,58 / 137,30 / 100,"
"2018/2019,""SIMMONS, MEIGHAN SHAREE"",Extranjero,SNATT´S FEMENÍ SANT ADRIÁ,327,23,68,12,56,33,29,50,3,6,36,36,198,679:58,41 / 109,72 / 204,"
"2018/2019,""SKLEPOWICZ, ZUZANNA IDA"",Extranjero,CADI LA SEU,14,24,8,,8,13,6,21,,1,6,27,-17,177:57,,,"
"2018/2019,""STAMENKOVIC, MAJA"",Extranjero,RPK ARASKI,65,15,45,10,35,5,9,14,1,2,26,26,56,204:26,22 / 64,,"
"2018/2019,""STANACEV , ALEKSANDRA"",Extranjero,QUESOS EL PASTOR,215,26,121,16,105,98,36,85,,7,102,33,288,825:18,47 / 120,19 / 95,64 / 74"
"2018/2019,""SYLL , NDEYE AMY"",Extranjero,EMBUTIDOS PAJARIEL BEMBIBRE PD,30,14,28,13,15,2,3,6,1,2,5,20,16,124:37,,,"
"2018/2019,""TIRERA, MEIYA"",Extranjero,VALENCIA B.C.,393,26,110,29,81,37,22,58,10,5,63,74,355,717:24,169 / 289,,52 / 64"
"2018/2019,""URBANIAK -DORNSTAUDER, QUINN ASIA"",Extranjero,MANN-FILTER CASABLANCA,136,24,93,43,50,17,16,36,11,8,46,22,180,436:01,55 / 114,,"
"2018/2019,""VAN DEN ADEL, NATALIE ISABELLE"",Extranjero,RPK ARASKI,226,26,90,21,69,45,16,47,5,6,56,50,170,691:02,55 / 146,26 / 81,38 / 57"
"2018/2019,""VAN GRINSVEN, CHATILLA"",Extranjero,BAXI FERROL,291,25,204,49,155,46,19,102,10,10,82,70,243,702:51,94 / 242,20 / 77,43 / 65"
"2018/2019,""VANDERWAL, RACHAEL ANN"",Extranjero,LOINTEK GERNIKA BIZKAIA,196,26,83,22,61,63,24,30,3,7,50,39,236,657:19,50 / 94,19 / 68,39 / 53"
"2018/2019,""VILA CABIRO, MIREIA"",Nacional,SNATT´S FEMENÍ SANT ADRIÁ,30,16,32,7,25,13,2,3,,,12,20,26,208:10,,5 / 27,"
"2018/2019,""VILARO ARAGONES, ANDREA"",Nacional,CADI LA SEU,269,26,123,28,95,98,42,57,4,6,66,40,345,732:08,73 / 146,26 / 95,45 / 57"
"2018/2019,""WEAVER, LYNDRA SHAJUAN"",Extranjero,IDK GIPUZKOA,371,23,202,37,165,35,23,73,5,9,83,39,371,753:27,137 / 315,17 / 43,46 / 69"
"2018/2019,""WESTBELD, KATHRYN ELIZABETH"",Extranjero,IDK GIPUZKOA,74,13,54,13,41,6,10,21,2,3,11,9,84,173:25,,,"
Temporada,Jugadora,Nacionalidad,Equipo,Puntos,Partidos,Rebotes Totales,Rebotes Ofensivos,Rebotes Defensivos,Asistencias,Balones recuperados,Balones perdidos,Tapones a favor,Tapones en contra,Faltas recibidas,Faltas cometidas,Valoración,Minutos jugados,% Tiros de 2,% Tiros de 3,% Tiros Libres
"2017/2018,""ABALDE DIAZ, TAMARA"",Nacional,MANN-FILTER,310,26,123,44,79,22,29,56,12,8,92,64,307,841:52,124 / 246,,59 / 85"
"2017/2018,""ADURIZ HERNANI, ONINTZA"",Nacional,IDK GIPUZKOA,103,26,65,12,53,27,16,28,2,3,24,49,100,602:55,38 / 80,,"
"2017/2018,""AGIRRE MUÑOZ, ARRATE"",Nacional,LACTURALE ART ARASKI,136,23,35,7,28,21,24,40,,2,19,38,74,367:00,32 / 70,18 / 57,"
"2017/2018,""ALDALUR SOTO, ANE MIREN"",Nacional,LACTURALE ART ARASKI,127,26,62,11,51,18,16,18,2,3,41,59,101,532:05,22 / 53,21 / 73,"
"2017/2018,""ALIAGA ROMERO, LAURA"",Nacional,EMBUTIDOS PAJARIEL BEMBIBRE PD,93,26,32,11,21,12,10,14,3,4,7,36,29,412:09,,24 / 68,"
"2017/2018,""ALLEYNE, JILLIAN CHANTEL"",Extranjero,IDK GIPUZKOA,223,22,213,55,158,24,9,35,8,14,53,29,347,516:34,95 / 175,,33 / 57"
"2017/2018,""ALMINAITE, KRISITINA"",Extranjero,SPAR CITYLIFT GIRONA,118,26,123,42,81,5,5,27,27,2,23,34,163,377:09,52 / 121,,"
"2017/2018,""ALSTON, AMERYST DANAE"",Extranjero,LOINTEK GERNIKA BIZKAIA,346,26,77,12,65,56,28,57,1,6,71,41,322,858:12,94 / 178,37 / 93,47 / 60"
"2017/2018,""ARIZTIMUÑO LOPEZ , ITZIAR"",Nacional,LOINTEK GERNIKA BIZKAIA,39,22,21,6,15,28,8,17,,4,16,19,56,201:35,,,"
"2017/2018,""ARROJO JIMENEZ, MARIA BELEN"",Nacional,SNATT´S FEMENÍ SANT ADRIÁ,291,26,140,53,87,34,29,40,7,5,75,36,296,811:36,85 / 203,22 / 77,55 / 81"
"2017/2018,""ASTROM , ELLEN LOVISA"",Extranjero,EMBUTIDOS PAJARIEL BEMBIBRE PD,60,26,31,4,27,16,10,34,2,2,11,23,27,311:08,25 / 52,,"
"2017/2018,""ASURMENDI VILLAVERDE, MARIA DEL CARMEN"",Nacional,PERFUMERIAS AVENIDA,134,25,51,9,42,58,26,35,,1,25,32,144,527:52,,33 / 96,"
"2017/2018,""BAHI BLANQUERA, GEORGINA"",Nacional,CADI LA SEU,109,19,75,22,53,16,17,20,3,3,39,44,109,433:52,32 / 77,8 / 37,"
"2017/2018,""BARBEE, SHACOBIA SHAUNTE"",Extranjero,MANN-FILTER,399,26,161,28,133,57,78,38,11,13,104,47,488,900:50,115 / 253,27 / 89,88 / 112"
"2017/2018,""BOGICEVIC, NINA"",Extranjero,MOVISTAR ESTUDIANTES,171,21,98,28,70,18,18,42,8,4,25,33,148,508:26,46 / 112,23 / 63,"
"2017/2018,""BRKIC, IVA"",Extranjero,IDK GIPUZKOA,256,26,80,9,71,102,35,80,1,2,57,68,248,786:52,55 / 96,35 / 113,41 / 55"
"2017/2018,""BROWN , BRITTANY DANIELLE"",Extranjero,EMBUTIDOS PAJARIEL BEMBIBRE PD,417,26,138,35,103,83,59,68,3,19,97,48,355,936:54,153 / 352,15 / 96,66 / 93"
"2017/2018,""BROWN , JOY ALEXIS"",Extranjero,NISSAN AL-QÁZERES EXTREMADURA,295,26,238,80,158,45,40,69,10,14,118,60,417,837:57,90 / 211,20 / 49,55 / 91"
"2017/2018,""BUCH ROSELL, ROSO"",Nacional,SPAR CITYLIFT GIRONA,176,26,64,9,55,66,22,42,2,5,33,30,178,605:04,39 / 89,26 / 80,"
"2017/2018,""BUTLER, BRIANNA"",Extranjero,QUESOS EL PASTOR,307,26,67,8,59,30,27,45,5,10,30,55,162,748:59,60 / 134,55 / 168,"
"2017/2018,""CABRERA ARGUELLO, PATRICIA"",Nacional,STAR CENTER-UNI FERROL,121,26,22,2,20,14,9,5,,,3,17,71,335:43,,36 / 104,"
"2017/2018,""CALDWELL , TALIA ADAIAH"",Extranjero,LOINTEK GERNIKA BIZKAIA,246,19,175,72,103,23,8,41,4,14,65,49,285,576:40,101 / 190,,44 / 85"
"2017/2018,""CALVO DIAZ, ANA BEGOÑA"",Nacional,STAR CENTER-UNI FERROL,67,26,44,17,27,13,14,10,4,2,14,54,37,416:44,,15 / 47,"
"2017/2018,""CLARET GILABERTE, MARTA"",Nacional,SNATT´S FEMENÍ SANT ADRIÁ,99,25,47,11,36,10,15,11,1,3,11,37,60,340:58,,22 / 69,"
"2017/2018,""CONDE ALCOLADO, MARIA"",Nacional,SPAR CITYLIFT GIRONA,199,26,105,36,69,34,28,38,4,2,35,23,219,500:10,63 / 137,16 / 56,"
"2017/2018,""COOPER, SHAYLA JONIQUE"",Extranjero,NISSAN AL-QÁZERES EXTREMADURA,304,16,142,41,101,20,20,47,3,10,66,49,299,522:46,110 / 213,11 / 42,51 / 67"
"2017/2018,""CORRALES BOHOYO, ELENA"",Nacional,NISSAN AL-QÁZERES EXTREMADURA,38,26,13,7,6,12,10,18,,3,9,21,10,258:48,,,"
"2017/2018,""COULIBALY, MARIAM ALOU"",Extranjero,SNATT´S FEMENÍ SANT ADRIÁ,252,26,200,71,129,12,24,46,6,2,58,65,320,586:36,105 / 205,,39 / 56"
"2017/2018,""DE SOUZA MACHADO, ERIKA CRISTINA"",Nacional,PERFUMERIAS AVENIDA,201,22,141,40,101,19,15,22,14,4,37,34,289,431:05,88 / 148,,"
"2017/2018,""DELGADO PONTES, MARINA"",Nacional,STAR CENTER-UNI FERROL,66,26,35,10,25,41,18,28,1,1,30,32,97,350:16,,,"
"2017/2018,""DIALLO DIENG , UMO DIALLO"",Nacional,LACTURALE ART ARASKI,158,26,75,9,66,18,6,37,3,3,37,72,74,468:17,67 / 161,,"
"2017/2018,""DIAZ CASTELLANO, YURENA"",Nacional,CADI LA SEU,204,26,57,6,51,55,22,46,1,8,33,53,133,684:43,35 / 92,38 / 110,"
"2017/2018,""DIEZ FERNANDEZ, NAIARA"",Nacional,LOINTEK GERNIKA BIZKAIA,99,26,35,6,29,24,16,12,,2,16,34,98,358:11,,27 / 57,"
"2017/2018,""DOMINGUEZ FERNANDEZ, SILVIA"",Nacional,PERFUMERIAS AVENIDA,113,24,54,9,45,94,32,56,,4,43,26,161,493:04,28 / 69,14 / 52,"
"2017/2018,""ELONU, ADAORA NNENNA"",Extranjero,PERFUMERIAS AVENIDA,270,26,88,30,58,35,28,34,13,9,54,53,300,555:19,110 / 190,,47 / 55"
"2017/2018,""ERAUNCETAMURGIL AYESTARAN, MARIA"",Nacional,IDK GIPUZKOA,29,20,26,9,17,5,4,12,5,2,6,32,1,169:11,,,"
"2017/2018,""ESPARCIA OMEDAS, CAROLINA"",Nacional,MANN-FILTER,8,19,16,4,12,4,4,4,,,1,4,17,111:42,,,"
"2017/2018,""ESTEBAS ARMAS, PAULA"",Nacional,CAMPUS PROMETE LF1,155,26,78,14,64,71,30,77,,6,33,59,87,746:49,36 / 103,22 / 90,"
"2017/2018,""ETXARRI MUNARRIZ, IRATI"",Nacional,LACTURALE ART ARASKI,128,26,79,26,53,8,16,28,10,9,27,46,83,432:14,54 / 136,,"
"2017/2018,""EVANS, SHANTE MARIE"",Extranjero,SPAR CITYLIFT GIRONA,228,26,137,71,66,33,15,44,8,4,47,60,253,537:28,90 / 175,,48 / 61"
"2017/2018,""FERRARI CALABRO, PAOLA ANDREA"",Extranjero,MANN-FILTER,489,26,103,14,89,102,48,80,5,6,85,82,419,913:25,97 / 183,76 / 209,67 / 93"
"2017/2018,""FORASTE GALOBARDES, MIRIAM"",Nacional,NISSAN AL-QÁZERES EXTREMADURA,169,26,76,25,51,12,16,33,8,2,46,33,186,564:22,63 / 119,,"
"2017/2018,""FORSTER, JULIA CHRISTINE"",Extranjero,LACTURALE ART ARASKI,250,26,232,80,152,60,59,52,20,10,80,76,384,819:54,98 / 257,,51 / 67"
"2017/2018,""GARCIA PAUNERO, CELIA"",Nacional,QUESOS EL PASTOR,76,25,83,34,49,15,9,17,1,2,20,32,93,464:17,29 / 63,,"
"2017/2018,""GARCIA URLEZAGA, IZASKUN"",Nacional,LACTURALE ART ARASKI,115,25,50,10,40,52,22,45,,9,44,23,117,544:07,32 / 84,8 / 33,"
"2017/2018,""GIDDEN, VANESSA NICOLE"",Extranjero,CAMPUS PROMETE LF1,253,19,249,78,171,37,14,56,24,14,74,52,349,636:46,108 / 271,,37 / 53"
"2017/2018,""GIL COLLADO, LAURA"",Nacional,PERFUMERIAS AVENIDA,131,19,90,26,64,31,20,26,9,6,38,42,173,432:47,48 / 110,,"
"2017/2018,""GINZO ARANTES, PAULA"",Nacional,MOVISTAR ESTUDIANTES,201,25,187,44,143,35,24,38,12,2,42,47,293,732:07,91 / 203,,"
"2017/2018,""GIVENS , KRISI TIJANA"",Extranjero,PERFUMERIAS AVENIDA,222,25,57,16,41,55,49,38,1,3,28,34,258,535:43,78 / 124,16 / 47,"
"2017/2018,""GOMES COLHADO, NADIA"",Extranjero,SPAR CITYLIFT GIRONA,314,25,210,68,142,16,18,56,21,6,68,58,388,616:02,133 / 248,,48 / 71"
"2017/2018,""GOMES DA SILVA, SOFIA CAROLINA"",Extranjero,CAMPUS PROMETE LF1,220,26,154,57,97,21,8,36,5,3,63,77,243,565:36,89 / 178,,42 / 62"
"2017/2018,""GOMEZ IGUAL, ANNA"",Nacional,LOINTEK GERNIKA BIZKAIA,189,25,110,19,91,97,39,60,2,7,60,50,278,751:00,51 / 103,18 / 49,33 / 52"
"2017/2018,""GONZALEZ DUARTE , LARA"",Nacional,IDK GIPUZKOA,112,26,61,14,47,40,14,43,2,8,50,49,74,517:16,32 / 90,7 / 31,"
"2017/2018,""GONZALEZ PROPIN, MARIANA"",Nacional,MOVISTAR ESTUDIANTES,240,26,119,42,77,36,31,69,7,8,49,103,161,644:53,106 / 230,,"
"2017/2018,""GUSTAVSSON , ELIN JELENA"",Extranjero,EMBUTIDOS PAJARIEL BEMBIBRE PD,188,26,125,32,93,9,13,25,4,7,33,45,180,554:09,46 / 108,24 / 73,"
"2017/2018,""HALL , PRECIOUS TANZIE KYTRONIA"",Extranjero,CAMPUS PROMETE LF1,147,20,52,8,44,25,25,51,2,6,53,27,99,504:12,37 / 98,12 / 60,"
"2017/2018,""HERRERA BOXO, LAURA"",Nacional,CAMPUS PROMETE LF1,82,24,77,30,47,22,9,14,2,,39,30,150,418:39,27 / 58,,"
"2017/2018,""HURTADO OBIOLS, CRISTINA"",Nacional,SNATT´S FEMENÍ SANT ADRIÁ,108,23,99,20,79,27,21,24,4,1,31,41,138,542:25,,13 / 68,"
"2017/2018,""IPARRAGIRRE ALUSTIZA, SARA"",Nacional,IDK GIPUZKOA,52,20,14,3,11,11,10,9,2,,14,21,36,189:13,,,"
"2017/2018,""IVEZIC, JELENA"",Extranjero,QUESOS EL PASTOR,165,18,62,16,46,27,18,31,1,12,27,35,118,449:48,51 / 123,11 / 39,"
"2017/2018,""JENKINS, ALISIA LA´JEWEL CHARLESNEIA"",Extranjero,QUESOS EL PASTOR,235,18,173,61,112,10,26,45,7,5,71,42,275,586:37,68 / 151,11 / 59,66 / 90"
"2017/2018,""JOVANOVIC, MILICA"",Extranjero,CAMPUS PROMETE LF1,198,19,71,14,57,30,21,37,9,5,23,44,124,561:43,34 / 80,40 / 130,"
"2017/2018,""KNIGHT, LESLIE FAYE"",Extranjero,CAMPUS PROMETE LF1,221,21,94,35,59,19,11,31,2,7,50,41,230,508:33,86 / 157,,"
"2017/2018,""KOVACEVIC, BOJANA"",Extranjero,SNATT´S FEMENÍ SANT ADRIÁ,36,23,40,17,23,12,13,12,1,1,9,11,55,244:58,,,"
"2017/2018,""KRAKER, MEHRYN DONEGAN"",Extranjero,CADI LA SEU,299,26,69,27,42,50,32,37,5,6,47,44,273,745:57,36 / 88,64 / 149,"
"2017/2018,""LAHUERTA MENDOZA, IRENE"",Nacional,MANN-FILTER,65,26,33,13,20,20,25,20,2,3,11,54,41,322:13,,8 / 30,"
"2017/2018,""LAZARO CASTILLERO, YAIZA"",Nacional,LOINTEK GERNIKA BIZKAIA,74,23,40,9,31,4,7,15,1,4,15,52,22,212:03,33 / 71,,"
"2017/2018,""LIZARAZU HERRERA, MARINA"",Nacional,QUESOS EL PASTOR,307,26,81,19,62,80,28,60,1,9,100,59,246,849:55,93 / 228,25 / 89,46 / 70"
"2017/2018,""LLOBET CODERCH, ITZIAR"",Nacional,SNATT´S FEMENÍ SANT ADRIÁ,59,26,35,14,21,9,20,20,1,1,17,31,35,316:54,,11 / 44,"
